als;fr;de;en;cat;gen;pluriel;petit;compar;present_1_personne;present_2_personne;present_3_personne;present_pluriel;part_passe;aux;cond_pres_1_personne;cond_pres_2_personne;cond_pres_3_personne;cond_pres_pluriel
Gufa;épingle;Stecknadel;pin;nom;f;Gufa;Gìfala;;;;;;;;;;;
Guld;or;Gold;gold;nom;n;;;;;;;;;;;;;
Gummi;gomme;Radiergummi;rubber;nom;m;Gummi;;;;;;;;;;;;
Gummi;caoutchouc;Gummi;rubber;nom;m;Gummi;;;;;;;;;;;;
Gump;saut;Sprung;jump;nom;;Gìmp;;;;;;;;;;;;
Gwohnet;habitude;Gewohnheit;habit;nom;f;Gwohneta;;;;;;;;;;;;
Gwìcht;poids;Gewicht;weight;nom;n;Gwìchta;;;;;;;;;;;;
Gwìnd;filetage;Gewinde;thread;nom;n;Gwìnd;;;;;;;;;;;;
Gwìtter;orage;Gewitter;thunderstorm;nom;n;Gwìtter;;;;;;;;;;;;
Gàger;jars;Gänserich;gander;nom;m;Gàger;;;;;;;;;;;;
Gàggala;oeuf;Ei;egg;nom;n;Gàggala;;;;;;;;;;;;
Gàlla;bile;Galle;gall;nom;f;Gàlla;;;;;;;;;;;;
Gàns;oie;Gans;goose;nom;f;Gans;Gansala;;;;;;;;;;;
Gàrta;jardin;Garten;garden;nom;m;Garta;Gartala;;;;;;;;;;;
Gàs;gaz;Gas;gas;nom;n;;;;;;;;;;;;;
Gàscht;invité;Gast;guest;nom;m;Gascht;;;;;;;;;;;;
Gàssa;ruelle;Gasse;lane;nom;f;Gàssa;Gassla;;;;;;;;;;;
Gàssa;rue;Gasse;street;nom;f;Gasssa;;;;;;;;;;;;
Gàwla;fourchette;Gabel;fork;nom;f;Gàwla;Gawala;;;;;;;;;;;
Gìft;poison;Gift;poison;nom;m;;;;;;;;;;;;;
Gìrtel;ceinture;Gürtel;belt;nom;m;Gìrtel;Gìrtala;;;;;;;;;;;
Gückel;coq;Hahn;cock;nom;m;Gickel;;;;;;;;;;;;
Haard;cuisinière;Herd;stove;nom;m;Haard;;;;;;;;;;;;
Haifìsch;requin;Hai;shark;nom;m;Haifìsch;;;;;;;;;;;;
Handschig;gant;Handschuh;glove;nom;m;Handschig;;;;;;;;;;;;
Happa;klaxon;Hupe;klaxon;nom;f;Happa;;;;;;;;;;;;
Harkunft;origine;Herkunft;origin;nom;f;Harkìnft;;;;;;;;;;;;
Hartäpfel;pomme de terre;Kartoffel;potato;nom;m;Hartäpfel;;;;;;;;;;;;
Harz;coeur;Herz;heart;nom;n;Harza;Harzla;;;;;;;;;;;
Harzschlàg;crise cardiaque;Herzschlag;heart attack;nom;m;Harzschleeg;;;;;;;;;;;;
Harìng;hareng;Hering;herring;nom;m;Harìng;;;;;;;;;;;;
Hax;sorcière;Hexe;witch;nom;f;Haxa;;;;;;;;;;;;
Haxaschuss;lumbago;Hexenschuss;lumbago;nom;m;Haxaschuss;;;;;;;;;;;;
Heecha;hauteur;Höhe;height;nom;f;Heecha;;;;;;;;;;;;
Heft;cahier;Heft;notebook;nom;n;Heft;Heftla;;;;;;;;;;;
Hehla;caverne;Höhle;cavern;nom;f;Hehla;;;;;;;;;;;;
Hei;foin;Heu;hay;nom;n;;;;;;;;;;;;;
Heidelbeera;myrtille;Heidelbeere;blueberry;nom;f;Heidelbeera;;;;;;;;;;;;
Heigumber;sauterelle;Heuschrecke;grasshopper;nom;m;Heigumber;;;;;;;;;;;;
Heim;foyer;Heim;home;nom;n;Heim;;;;;;;;;;;;
Heimweh;mal du pays;Heimweh;homesickness;nom;n;Heimweh;;;;;;;;;;;;
Held;héros;Held;hero;nom;m;Helda;;;;;;;;;;;;
Helfta;moitié;Hälfte;half;nom;f;Helfta;;;;;;;;;;;;
Helikopter;hélicoptère;Helikopter;helicopter;nom;m;Helikopter;;;;;;;;;;;;
Hemm;chemise;Hemd;shirt;nom;n;Hemmder;Hemmla;;;;;;;;;;;
Herrscher;souverain;Herrscher;sovereign;nom;m;Herrscher;;;;;;;;;;;;
Hewa;levure;Hefe;yeast;nom;f;;;;;;;;;;;;;
Historiker;historien;Historiker;historian;nom;m;Historiker;;;;;;;;;;;;
Hitscherla;mâche;Feldsalat;corn salad;nom;m;Hitscherla;;;;;;;;;;;;
Hochzitt;mariage;Hochzeit;wedding;nom;f;Hochzitta;;;;;;;;;;;;
Hoff;cour;Hof;court;nom;m;Häff;Häffla;;;;;;;;;;;
Hoka;crochet;Haken;hook;nom;m;Hoka;;;;;;;;;;;;
Holdra;sureau;Holunder;elder;nom;f;Holdra;;;;;;;;;;;;
Holz;bois;Holz;wood;nom;n;Hälzer;Hälzla;;;;;;;;;;;
Hoor;cheveu;Haar;hair;nom;n;Hoor;Heerla;;;;;;;;;;;
Horizont;horizon;Horizont;horizon;nom;m;Horizonta;;;;;;;;;;;;
Hormon;hormone;Hormon;hormone;nom;n;Hormona;;;;;;;;;;;;
Hornung;février;Februar;February;nom;m;;;;;;;;;;;;;
Hosa;pantalon;Hose;trousers;nom;f;Hosa;Heesla;;;;;;;;;;;
Hosatràger;bretelle;Hosenträger;brace;nom;m;Hosatrager;;;;;;;;;;;;
Hotel;hôtel;Hotel;hotel;nom;n;Hotel;;;;;;;;;;;;
Howel;rabot;Hobel;plane;nom;m;Howel;;;;;;;;;;;;
Hufta;hanche;Hüfte;hip;nom;f;Hufta;;;;;;;;;;;;
Humor;humour;Humor;humor;nom;m;Humora;;;;;;;;;;;;
Hund;chien;Hund;dog;nom;m;Hunda;Hìndla;;;;;;;;;;;
Hunger;faim;Hunger;hunger;nom;m;Hunger;;;;;;;;;;;;
Hunig;miel;Honig;honey;nom;m;Huniga;;;;;;;;;;;;
Hupfa;houblon;Hopfen;hops;nom;m;Hupfa;;;;;;;;;;;;
Huurscht;buisson;Busch;bush;nom;m;Heerscht;;;;;;;;;;;;
Hyäna;hyène;Hyäne;hyena;nom;f;Hyäna;;;;;;;;;;;;
Hàcka;houe;Hacke;hoe;nom;f;Hàcka;Hackala;;;;;;;;;;;
Hàfa;pot;Hafen;pot;nom;m;Hafa;Hafala;;;;;;;;;;;
Hàfa;port;Hafen;port;nom;m;;;;;;;;;;;;;
Hàgabutta;églantine;Hagebutte;rose hip;nom;f;Hàgabutta;;;;;;;;;;;;
Hàgel;grêle;Hagel;hail;nom;m;;;;;;;;;;;;;
Hàhna;robinet;Wasserhahn;tap;nom;m;Hahna;Hahnla;;;;;;;;;;;
Hàls;cou;Hals;neck;nom;m;Hals;Halsla;;;;;;;;;;;
Hàls;gorge;Hals;throat;nom;m;Hals;Halsala;;;;;;;;;;;
Hàmf;chanvre;Hanf;hemp;nom;m;;;;;;;;;;;;;
Hàmmel;mouton;Hammel;mutton;nom;m;Hammel;;;;;;;;;;;;
Hàmmer;marteau;Hammer;hammer;nom;m;Hammer;Hammerla;;;;;;;;;;;
Hàmschter;hamster;Hamster;hamster;nom;m;Hamschter;;;;;;;;;;;;
Hànd;main;Hand;hand;nom;f;Hand;Handala;;;;;;;;;;;
Hàndel;commerce;Hand;trade;nom;m;Handel;;;;;;;;;;;;
Hàndglank;poignet;Handgelenk;wrist;nom;n;Hàndglank;;;;;;;;;;;;
Hàrmonie;accordéon;Akkordeon;accordion;nom;f;;;;;;;;;;;;;
Hàrpfa;harpe;Harfe;harp;nom;f;Hàrpfa;;;;;;;;;;;;
Hàselnuss;noisette;Haselnuss;hazelnut;nom;f;Hàselnussa;;;;;;;;;;;;
Hàss;haine;Hass;hate;nom;f;Hàss;;;;;;;;;;;;
Hàuia;houe;Haue;hoe;nom;f;Hàuia;;;;;;;;;;;;
Hàwer;avoine;Hafer;oat;nom;m;Hàwer;;;;;;;;;;;;
Hààs;lièvre;Hase;hare;nom;m;Hàsa;Hasala;;;;;;;;;;;
Hìlf;aide;Hilfe;help;nom;f;Hìlfa;;;;;;;;;;;;
Hìmbeera;framboise;Himbeere;raspberry;nom;f;Hìmbeera;;;;;;;;;;;;
Hìmmel;ciel;Himmel;sky;nom;m;Hìmmel;;;;;;;;;;;;
Hìndernis;obstacle;Hindernis;obstacle;nom;n;Hìndernissa;;;;;;;;;;;;
Hìnter;postérieur;Po;bottom;nom;m;Hìnter;;;;;;;;;;;;
Hìrn;cerveau;Hirn;brain;nom;n;Hìrn;Hìrnla;;;;;;;;;;;
Hìrnschlàg;attaque cérébrale;Gehirnschlag;stroke;nom;m;Hìrnschleeg;;;;;;;;;;;;
Hìrsch;cerf;Hirsch;deer;nom;m;Hìrsch;;;;;;;;;;;;
Hìtz;ccanicule;Hitze;heat;nom;f;Hìtza;;;;;;;;;;;;
Hüehn;poule;Huhn;hen;nom;f;Hiahner;Hiahnla;;;;;;;;;;;
Hüeschta;toux;Husten;cough;nom;m;Hüeschta;;;;;;;;;;;;
Hüet;chapeau;Hut;hat;nom;m;Hiat;;;;;;;;;;;;
Hüffa;tas;Haufen;heap;nom;m;Hiffa;Hiffala;;;;;;;;;;;
Hüss;maison;Haus;house;nom;n;Hiiser;Hiisla;;;;;;;;;;;
Hüssfràui;ménagère;Hausfrau;housewife;nom;f;;;;;;;;;;;;;
Hüssgàng;couloir;Korridor;corridor;nom;m;Hüssgang;;;;;;;;;;;;
Hütt;peau;Haut;skin;nom;f;Hitt;Hittla;;;;;;;;;;;
Iawung;exercice;Übung;exercise;nom;f;Iawunga;;;;;;;;;;;;
Idee;idée;Idee;idea;nom;f;Idee;;;;;;;;;;;;
Ideologie;idéologie;Ideologie;ideology;nom;f;Ideologie;;;;;;;;;;;;
Ifluss;influence;Einfluss;influence;nom;m;Iflìss;;;;;;;;;;;;
Igàng;entrée;Eingang;entry;nom;m;Igang;;;;;;;;;;;;
Ilàdung;invitation;Einladung;invitation;nom;f;Ilàdunga;;;;;;;;;;;;
Is;glace;Eis;ice;nom;n;Is;;;;;;;;;;;;
Isa;fer;Eisen;iron;nom;n;Isa;;;;;;;;;;;;
Isabàhn;chemin de fer;Eisenbahn;railroad;nom;f;Isabanh;;;;;;;;;;;;
Iskàschta;réfrigérateur;Kühlschrank;fridge;nom;m;Iskaschta;;;;;;;;;;;;
Iwànderer;immigrants;Einwanderer;immigrant;nom;m;Iwanderer;;;;;;;;;;;;
Iwèihung;inauguration;Einweihung;inauguration;nom;f;Iwèihunga;;;;;;;;;;;;
Jager;chasseur;Jäger;hunter;nom;m;Jager;;;;;;;;;;;;
Janner;janvier;Januar;January;nom;m;;;;;;;;;;;;;
Jaschta;précipitation;Eile;hurry;nom;n;;;;;;;;;;;;;
Jod;iode;Jod;iodine;nom;n;;;;;;;;;;;;;
Johr;année;Jahr;year;nom;n;Johra;Jehrla;;;;;;;;;;;
Johreszitt;saison;Jahreszeit;season;nom;f;Johreszitta;;;;;;;;;;;;
Johrhundert;siècle;Jahrhundert;century;nom;n;Johrhunderta;;;;;;;;;;;;
Johrzehntel;décennie;Jahrzehnt;decade;nom;n;Johrzehntel;;;;;;;;;;;;
Journàlischt;journaliste;Journalist;journalist;nom;m;Journàlischta;;;;;;;;;;;;
Juli;juillet;Juli;July;nom;m;;;;;;;;;;;;;
Juni;juin;Juni;June;nom;m;;;;;;;;;;;;;
Jàgd;chasse;Jagd;hunt;nom;f;Jàgda;;;;;;;;;;;;
Jìps;plâtre;Gips;plaster;nom;m;Jìps;;;;;;;;;;;;
Kaas;fromage;Käse;cheese;nom;m;Kaas;;;;;;;;;;;;
Kaasmasser;couteau à fromage;Käsemesser;cheese knife;nom;n;Kaasmasser;Kaasmasserla;;;;;;;;;;;
Kafer;coléoptère;Käfer;beetle;nom;m;Kafer;Kaferla;;;;;;;;;;;
Kafer;insecte;Insekt;insect;nom;m;Kafer;Kaferla;;;;;;;;;;;
Kaller;cave;Keller;cellar;nom;m;Kaller;;;;;;;;;;;;
Kallerfanschter;soupirail;Kellerfenster;cellarwindow;nom;n;Kallerfanschter;;;;;;;;;;;;
Kamifager;ramoneur;Schornsteinfeger;chimney sweep;nom;m;Kamifager;;;;;;;;;;;;
Kanschterla;buffet;Büfett;buffet;nom;n;Kanschterla;;;;;;;;;;;;
Karn;grain;Korn;seed;nom;m;Karna;Kärnla;;;;;;;;;;;
Kater;matou;Kater;tomcat;nom;m;Kater;;;;;;;;;;;;
Keenig;roi;König;king;nom;m;Keenig;;;;;;;;;;;;
Keib;gars;Kerl;guy;nom;m;Keiwa;;;;;;;;;;;;
Kella;truelle;Kelle;trowel;nom;f;Kella;;;;;;;;;;;;
Kerwel;cerfeuil;Kerbel;chervil;nom;m;;;;;;;;;;;;;
Kerza;bougie;Kerze;candle;nom;f;Kerza;Kerzla;;;;;;;;;;;
Kessel;chaudron;Kessel;cauldron;nom;m;Kessel;;;;;;;;;;;;
Kilo;kilo;Kilo;kilo;nom;n;Kilo;;;;;;;;;;;;
Klatta;bardane;Klette;burdock;nom;f;Klatta;;;;;;;;;;;;
Kleischter;colle pâteuse;Kleister;paste;nom;m;Kleischter;;;;;;;;;;;;
Klima;climat;Klima;climate;nom;n;Klima;;;;;;;;;;;;
Klàssa;classe;Klasse;class;nom;f;Klàssa;;;;;;;;;;;;
Klèia;son;Kleie;bran;nom;f;Klèia;;;;;;;;;;;;
Knacht;valet de ferme;Knecht;farmworker;nom;m;Knachta;;;;;;;;;;;;
Kneckes;gamin;Kind;kid;nom;m;Kneckes;;;;;;;;;;;;
Knie;genou;Knie;knee;nom;n;Knie;;;;;;;;;;;;
Knocha;os;Knochen;bone;nom;m;Knocha;Knächala;;;;;;;;;;;
Knopf;bouton;Knopf;button;nom;m;Knäpf;Knäpfla;;;;;;;;;;;
Knopf;noeud;Knoten;knot;nom;m;Knäpf;Knäpfla;;;;;;;;;;;
Knopfloch;boutonnière;Knopfloch;buttonhole;nom;n;Knopflächer;;;;;;;;;;;;
Knowlig;ail;Knoblauch;garlic;nom;m;Knowlig;;;;;;;;;;;;
Koala;koala;Koala;koala;nom;m;Koala;;;;;;;;;;;;
Koch;cuisinier;Koch;cook;nom;m;Käch;;;;;;;;;;;;
Kohla;charbon;Kohle;coal;nom;f;Kohla;;;;;;;;;;;;
Komeet;comète;Komet;comet;nom;m;Komeeta;;;;;;;;;;;;
Kommod;commode;Kommod;dresser;nom;f;Kommod;;;;;;;;;;;;
Kompromiss;compromis;Kompromiss;compromise;nom;m;Kompromissa;;;;;;;;;;;;
Konflikt;conflit;Konflikt;conflict;nom;m;Konflikta;;;;;;;;;;;;
Kontinànt;continent;Kontinent;continent;nom;m;Kontinànta;;;;;;;;;;;;
Kontàkt;contact;Kontakt;contact;nom;m;Kontàkta;;;;;;;;;;;;
Kopf;tête;Kopf;head;nom;m;Käpf;;;;;;;;;;;;
Kopfweh;mal de tête;Kopfweh;headache;nom;n;Kopfweh;;;;;;;;;;;;
Korb;panier;Korb;basket;nom;m;Kärb;Kärwala;;;;;;;;;;;
Korb;corbeille;Korb;basket;nom;m;Kärb;Kärwala;;;;;;;;;;;
Koriànder;coriandre;Koriander;coriander;nom;m;Koriànder;;;;;;;;;;;;
Korn;grain;Korn;grain;nom;n;Kärner;;;;;;;;;;;;
Krabs;cancer;Krebs;cancer;nom;m;Krabs;;;;;;;;;;;;
Kreis;cercle;Kreis;circle;nom;m;Kreisa;;;;;;;;;;;;
Kressa;cresson;Kresse;cress;nom;f;Kressa;;;;;;;;;;;;
Kriag;guerre;Krieg;war;nom;m;Kriaga;;;;;;;;;;;;
Kriida;craie;Kreide;chalk;nom;f;Kriida;;;;;;;;;;;;
Kriminàlität;criminalité;Kriminalität;criminality;nom;f;;;;;;;;;;;;;
Krisa;crise;Krise;crisis;nom;f;Krisa;;;;;;;;;;;;
Kritz;croix;Kreuz;cross;nom;n;Kritz;Kritzla;;;;;;;;;;;
Krokodil;crocodile;Krokodil;crocodile;nom;m;Krokodila;;;;;;;;;;;;
Krokodìl;crocodile;Krokodil;crocodile;nom;m;Krokodìla;;;;;;;;;;;;
Krona;couronne;Krone;crown;nom;f;Krona;;;;;;;;;;;;
Krummelta;miette;Krümel;crumb;nom;f;Krummelta;;;;;;;;;;;;
Kràbb;corbeau;Rabe;raven;nom;m;Kràbba;;;;;;;;;;;;
Kràbb;corneille;Krähe;crow;nom;m;Kràbba;;;;;;;;;;;;
Kràch;bruit;Lärm;noise;nom;m;Krach;;;;;;;;;;;;
Kràft;force;Kraft;power;nom;f;Kräfta;;;;;;;;;;;;
Kràftwark;station électrique;Kraftwerk;power plant;nom;n;Kràftwarka;;;;;;;;;;;;
Kràga;col;Kragen;collar;nom;m;Kraga;Kragla;;;;;;;;;;;
Kràlla;griffe;Kralle;claw;nom;f;Kràlla;;;;;;;;;;;;
Kràn;grue;Kran;crane;nom;m;Kran;Kranla;;;;;;;;;;;
Krànkaschweschter;infirmière;Krankenschwester;nurse;nom;f;Krànkaschweschtra;;;;;;;;;;;;
Krànket;maladie;Krankheit;disease;nom;f;Krànkheta;;;;;;;;;;;;
Kràwàtta;cravate;Krawatte;tie;nom;f;Kràwàtta;;;;;;;;;;;;
Krìppa;crêche;Krippe;crib;nom;f;Krìppa;Krìppala;;;;;;;;;;;
Krìschtkìnd;enfant Jésus;Christkind;Christkind;nom;n;Krìschtkìnder;Krìschtkìndla;;;;;;;;;;;
Krüsala;groseille à maquereau;Stachelbeere;gooseberry;nom;n;Krüsala;;;;;;;;;;;;
Krütt;chou;Kraut;cabbage;nom;n;Krütt;;;;;;;;;;;;
Kucha;cuisine;Küche;kitchen;nom;f;Kucha;Kìchala;;;;;;;;;;;
Kuchakanschterla;buffet de cuisine;Küchenschrank;kitchen cupboard;nom;n;Kuchakanschterla;;;;;;;;;;;;
Kuckuck;coucou;Kuckuck;cuckoo;nom;m;Kuckuck;;;;;;;;;;;;
Kugel;sphère;Kugel;sphere;nom;f;Kugla;Kìgla;;;;;;;;;;;
Kumfitür;confiture;Konfitüre;jam;nom;n;Kumfitüra;;;;;;;;;;;;
Kunscht;art;Kunst;art;nom;f;Kìnscht;;;;;;;;;;;;
Kupfer;cuivre;Kupfer;copper;nom;n;;;;;;;;;;;;;
Kupplung;embrayage;Kupplung;clutch;nom;f;Kupplunga;;;;;;;;;;;;
Kurzschluss;court-circuit;Kurzschluss;short circuit;nom;m;Kurzschlussa;;;;;;;;;;;;
Kàff;village;Dorf;village;nom;n;Kaff;Kaffla;;;;;;;;;;;
Kàffé;café;Kaffee;coffee;nom;m;Kàffé;;;;;;;;;;;;
Kàkumra;concombre;Gurke;cucumber;nom;f;Kàkumra;;;;;;;;;;;;
Kàlander;calendrier;Kalender;calendar;nom;m;Kàlander;Kàlanderla;;;;;;;;;;;
Kàlb;veau;Kalb;calf;nom;n;Kalwa;Kalwala;;;;;;;;;;;
Kàlch;calcaire;Kalk;chalk;nom;m;Kàlch;;;;;;;;;;;;
Kàmeel;chameau;Kamel;camel;nom;n;Kàmeel;;;;;;;;;;;;
Kàmeràd;camarade;Kamerad;comrade;nom;m;Kàmeràda;Kàmeradla;;;;;;;;;;;
Kàmii;cheminée;Kamin;chimney;nom;n;Kàmii;;;;;;;;;;;;
Kàmpf;lutte;Kampf;fight;nom;m;Kampfa;;;;;;;;;;;;
Kàmìlla;camomille;Kamille;camomile;nom;f;Kàmìlla;;;;;;;;;;;;
Kàndidàt;candidat;Kandidat;candidate;nom;m;Kàndidàta;;;;;;;;;;;;
Kànzler;Chancelier;Kanzler;Chancellor;nom;m;Kanzler;;;;;;;;;;;;
Kànàrivogel;canari;Kanarienvogel;canary;nom;m;Kànàriveegel;;;;;;;;;;;;
Kàppa;casquette;Mütze;cap;nom;f;Kàppa;Kappla;;;;;;;;;;;
Kàrpf;carpe;Karpfen;carp;nom;m;Kàrpfa;;;;;;;;;;;;
Kàrriar;carrière;Karriere;career;nom;f;Kàrriara;;;;;;;;;;;;
Kàrta;carte;Karte;card;nom;f;Kàrta;Kartla;;;;;;;;;;;
Kàrta;carte;Karte;map;nom;f;Kàrta;Kartla;;;;;;;;;;;
Kàràkter;caractère;Charakter;character;nom;m;Kàràkter;;;;;;;;;;;;
Kàschta;armoire;Schrank;wardrobe;nom;m;Kàschta;Kaschtala;;;;;;;;;;;
Kàssa;caisse;Kasse;cash;nom;f;Kàssa;Kassala;;;;;;;;;;;
Kàtz;chat;Katze;cat;nom;f;Kàtza;Katzla;;;;;;;;;;;
Kàtzawàdel;prêle;Equisetopsida;Equisetopsida;nom;m;Kàtzawadel;;;;;;;;;;;;
Kàwel;cable;Kabel;cable;nom;n;Kàwel;;;;;;;;;;;;
Kälta;froid;Kälte;cold;nom;f;Kälta;;;;;;;;;;;;
Kärwer;corps;Körper;body;nom;m;Kärwer;;;;;;;;;;;;
Käschtena;châtaigne;Kastanie;chestnut;nom;f;Käschtena;;;;;;;;;;;;
Kìn;menton;Kinn;chin;nom;n;Kìn;;;;;;;;;;;;
Kìnd;enfant;Kind;child;nom;n;Kìnder;;;;;;;;;;;;
Kìnggala;lapin;Kaninchen;rabbit;nom;n;Kìnggala;;;;;;;;;;;;
Kìrch;église;Kirche;church;nom;f;Kìrcha;Kìrchla;;;;;;;;;;;
Kìrchhoff;cimetière;Friedhof;cemetery;nom;m;Kìrchhäff;;;;;;;;;;;;
Kìrscha;cerise;Kirsche;cherry;nom;f;Kìrscha;;;;;;;;;;;;
Kìschta;caisse;Kiste;box;nom;f;Kìschta;Kìschtla;;;;;;;;;;;
Kìssa;coussin;Kissen;cushion;nom;n;Kìssa;Kìssala;;;;;;;;;;;
Kìtta;coing;Quitte;quince;nom;f;Kìtta;;;;;;;;;;;;
Kìttel;veste;Jacke;jacket;nom;m;Kìttel;Kìttala;;;;;;;;;;;
Kùmplimant;compliment;Kompliment;compliment;nom;n;Kùmplimanta;;;;;;;;;;;;
Kùnferanz;conférence;Konferenz;conference;nom;f;Kùnferanz;;;;;;;;;;;;
Küecha;gâteau;Kuchen;cake;nom;m;Küecha;;;;;;;;;;;;
Küeh;vache;Kuh;cow;nom;f;Kiah;;;;;;;;;;;;
Kültür;culture;Kultur;culture;nom;f;Kültüra;;;;;;;;;;;;
Kütz;hibou;Kauz;owl;nom;m;Kütza;;;;;;;;;;;;
Labküecha;pain d'épices;Lebkuchen;gingerbread;nom;m;Labküecha;Liabkiachla;;;;;;;;;;;
Lader;cuir;Leder;leather;nom;n;Lader;;;;;;;;;;;;
Lattri;diarrhée;Durchfall;diarrhea;nom;m;;;;;;;;;;;;;
Lavabo;lavabo;Waschbecken;sink;nom;m;Lavabo;;;;;;;;;;;;
Lawa;vie;Leben;life;nom;n;Lawa;;;;;;;;;;;;
Lawra;foie;Leber;liver;nom;f;Lawra;;;;;;;;;;;;
Leeb;lion;Löwe;lion;nom;m;Leewa;;;;;;;;;;;;
Leesung;solution;Lösung;solution;nom;f;Leesunga;;;;;;;;;;;;
Lehrer;professeur;Lehrer;teacher;nom;m;Lehrer;;;;;;;;;;;;
Leicha;cadavre;Leiche;corpse;nom;f;Leicha;;;;;;;;;;;;
Leid;deuil;Trauer;mourning;nom;n;Leid;;;;;;;;;;;;
Leim;glaise;Lehm;loam;nom;m;Leima;;;;;;;;;;;;
Liacht;lumière;Licht;light;nom;n;Liachter;Liachtla;;;;;;;;;;;
Liad;chanson;Lied;song;nom;n;Liader;Liadla;;;;;;;;;;;
Liawa;amour;Liebe;love;nom;f;Liawa;;;;;;;;;;;;
Lift;ascenseur;Lift;lift;nom;m;Lift;;;;;;;;;;;;
Liicht;obsèques;Bestattung;funeral;nom;f;Liicht;;;;;;;;;;;;
Liim;colle;Klebstoff;glue;nom;m;Liim;;;;;;;;;;;;
Liina;lin;Flachs;flax;nom;f;Liina;;;;;;;;;;;;
Linia;ligne;Linie;line;nom;f;Linia;;;;;;;;;;;;
Lintüech;drap;Betttuch;sheet;nom;n;Lintiacher;;;;;;;;;;;;
Literàtür;littérature;Literatur;literature;nom;f;Literàtüra;;;;;;;;;;;;
Litt;gens;Leute;people;nom;p;Litt;;;;;;;;;;;;
Loch;trou;Loch;hole;nom;n;Lächer;Lächla;;;;;;;;;;;
Lohn;salaire;Lohn;wage;nom;m;Lehn;Lehnla;;;;;;;;;;;
Lorfa;laurier;Lorbeer;laurel;nom;m;Lorfa;;;;;;;;;;;;
Luft;air;Luft;air;nom;f;Lìfta;Lìftla;;;;;;;;;;;
Luftwàffa;armée de l'air;Luftwaffe;air force;nom;f;Luftwaffa;;;;;;;;;;;;
Lumpa;chiffon;Lumpen;rag;nom;m;Lìmpa;Lìmpla;;;;;;;;;;;
Lunga;poumon;Lunge;lung;nom;f;Lunga;;;;;;;;;;;;
Lungaentzìndung;pneumonie;Lungenentzündung;pneumonia;nom;f;Lungaentzìndunga;;;;;;;;;;;;
Làcha;flaque;Lache;puddle;nom;f;Làcha;;;;;;;;;;;;
Làchs;saumon;Lachs;salmon;nom;m;Làchsa;;;;;;;;;;;;
Làda;boîte;Box;box;nom;f;Làda;Ladla;;;;;;;;;;;
Làda;volet;Fensterladen;shutter;nom;m;Làda;;;;;;;;;;;;
Làger;entrepôt;Lager;warehouse;nom;n;Lager;;;;;;;;;;;;
Làmpa;lampe;Lampe;lamp;nom;f;Làmpa;Lampala;;;;;;;;;;;
Lànd;pays;Land;country;nom;n;Lander;;;;;;;;;;;;
Làndschàft;paysage;Landschaft;landscape;nom;f;Làndschàfta;;;;;;;;;;;;
Làndwìrtschàft;agriculture;Landwirtschaft;agriculture;nom;f;Làndwìrdschàfta;;;;;;;;;;;;
Làrva;masque;Maske;mask;nom;f;Làrva;;;;;;;;;;;;
Làscht;fardeau;Last;burden;nom;f;Làschta;;;;;;;;;;;;
Làuiech;poireau;Lauch;leek;nom;m;Làuiech;;;;;;;;;;;;
Läffala;petite cuillère;Teelöffel;teaspoon;nom;n;Läffala;;;;;;;;;;;;
Läffel;cuillère;Löffel;spoon;nom;m;Läffel;Läffala;;;;;;;;;;;
Lìnsa;lentille;Linse;lentil;nom;f;Lìnsa;;;;;;;;;;;;
Lìppel;lèvre;Lippe;lip;nom;f;Lìppel;;;;;;;;;;;;
Lüüs;pou;Laus;louse;nom;f;Liis;;;;;;;;;;;;
Mahl;farine;Mehl;flour;nom;n;Mahl;;;;;;;;;;;;
Mai;mai;Mai;May;nom;m;;;;;;;;;;;;;
Maia;fleur en pot;Blume;flower;nom;m;Maia;Maiala;;;;;;;;;;;
Maiagläckla;muguet;Maiglöckchen;lily of the valley;nom;n;Maiagläckla;;;;;;;;;;;;
Maiakafer;grillon;Maikäfer;maybug;nom;m;Maiakafer;;;;;;;;;;;;
Maidla;fille;Mädchen;girl;nom;n;Maidla;;;;;;;;;;;;
Maire;maire;Bürgermeister;mayor;nom;m;Maire;;;;;;;;;;;;
Mamama;Mamie;Oma;Grandma;nom;f;Mamama;;;;;;;;;;;;
Mantig;lundi;Montag;Monday;nom;m;Mantig;;;;;;;;;;;;
Markt;marché;Markt;market;nom;m;Markta;;;;;;;;;;;;
Masser;couteau;Messer;knife;nom;n;Masser;Masserla;;;;;;;;;;;
Match;match;Spiel;match;nom;m;Match;;;;;;;;;;;;
Medizin;médicament;Medizin;medicine;nom;m;Medizin;;;;;;;;;;;;
Meer;mer;Meer;sea;nom;n;Meer;;;;;;;;;;;;
Meerschwiinla;cochon d'inde;Meerschweinchen;guinea pig;nom;n;Meerschwiinla;;;;;;;;;;;;
Meewa;mouette;Möwe;seagull;nom;f;Meewa;;;;;;;;;;;;
Meewel;meuble;Möbel;furniture;nom;;;;;;;;;;;;;;
Mehrheit;majorité;Mehrheit;majority;nom;f;Mehrheita;;;;;;;;;;;;
Meinung;avis;Meinung;opinion;nom;f;Meinunga;;;;;;;;;;;;
Meisala;mésange;Meise;tit;nom;n;Meisla;;;;;;;;;;;;
Meischter;maître;Meister;master;nom;m;Meischter;;;;;;;;;;;;
Meischterschàft;championnat;Meisterschaft;championship;nom;f;Meischterschàfta;;;;;;;;;;;;
